,ZipCode,Date,Zestimate,LogValue,AnchorDate,EventTime,RelLogValue
10846,85338,2019-08-31,283694.60082934686,12.555653589348122,2021-05-31,-21,-0.26804727428857866
10847,97124,2019-08-31,409172.4106359654,12.92189188809834,2021-03-31,-19,-0.1388258877857016
10852,20109,2019-08-31,301220.8823996931,12.615599103180887,2019-09-30,-1,-0.002928342702009701
10865,18603,2019-08-31,159961.25213646874,11.98268689074,2021-06-30,-22,-0.19551439488952482
10866,68138,2019-08-31,187393.46232378215,12.140965761965445,2020-02-29,-6,-0.03195723247900162
10877,50061,2019-09-30,415542.317390275,12.937339734999599,2018-11-30,10,0.04327482980323438
10882,35810,2019-09-30,106896.87034224278,11.579619820085439,2021-03-31,-18,-0.2662681024338749
10884,20136,2019-09-30,475249.5253736081,13.071595261662345,2021-06-30,-21,-0.20099399389314598
10896,43207,2019-09-30,127654.11159710748,11.757079632077321,2021-09-30,-24,-0.27377483907175737
10900,78245,2019-09-30,198573.31694147273,12.198913665783545,2018-11-30,10,0.0386257657242961
10901,85338,2019-09-30,284785.7318067968,12.559492358271973,2021-05-31,-20,-0.26420850536472784
10902,97124,2019-09-30,409376.805758076,12.92239129637402,2021-03-31,-18,-0.13832647951002208
10904,43130,2019-09-30,167704.67491644213,12.029959824086093,2021-09-30,-24,-0.23888825609779651
10907,20109,2019-09-30,302104.2531472459,12.618527445882897,2019-09-30,0,0.0
10920,18603,2019-09-30,161660.29041134764,11.993252439719154,2021-06-30,-21,-0.18494884591037142
10921,68138,2019-09-30,188079.13297710332,12.14461807334105,2020-02-29,-5,-0.028304921103396552
10932,50061,2019-10-31,417037.4810163386,12.940931379274932,2018-11-30,11,0.04686647407856803
10937,35810,2019-10-31,107534.1677053002,11.585563915168773,2021-03-31,-17,-0.2603240073505404
10939,20136,2019-10-31,476959.7024641207,13.075187285094445,2021-06-30,-20,-0.1974019704610459
10951,43207,2019-10-31,129387.47651194078,11.770566875159313,2021-09-30,-23,-0.2602875959897659
