TreatedZip,EventTime,RelLogValue,ControlCount
23150,5,0.08005509095689903,5
23150,6,0.07832288680659402,5
23150,7,0.07299862864640297,5
23150,8,0.0693278703547275,5
23150,9,0.06613847989956767,5
23150,10,0.06114891020289583,5
23150,11,0.05520848970010128,5
23150,12,0.05395800018897105,5
23150,13,0.06037993541606177,5
23150,14,0.07400213387777868,5
23150,15,0.08521484070254814,5
23150,16,0.0921047169489615,5
23150,17,0.09370279930041221,5
23150,18,0.09571548573236158,5
23150,19,0.0977908766392396,5
23150,20,0.09983890706665513,5
23150,21,0.1009843486794395,5
23150,22,0.0991702962053516,5
23150,23,0.09903195488137335,5
23150,24,0.10366623684595666,5
23836,-24,-0.12917721135953925,5
23836,-23,-0.12837830790735083,5
23836,-22,-0.12824468256223476,5
23836,-21,-0.12637404904479546,5
23836,-20,-0.12085202619213184,5
23836,-19,-0.10926650770523202,5
23836,-18,-0.09436435509468666,5
23836,-17,-0.07820395321550677,5
23836,-16,-0.06409212518034905,5
23836,-15,-0.05158016047155023,5
23836,-14,-0.04080501832648835,5
23836,-13,-0.03531002821844922,5
23836,-12,-0.0356762285196357,5
23836,-11,-0.040722209209442896,5
23836,-10,-0.04528770073415771,5
23836,-9,-0.04713189425733866,5
23836,-8,-0.04633383915523872,5
23836,-7,-0.043407350638780075,5
23836,-6,-0.040575656598031175,5
23836,-5,-0.03635499123809431,5
23836,-4,-0.03175668464223165,5
23836,-3,-0.025013384192257248,5
23836,-2,-0.016908068830776557,5
23836,-1,-0.007995849146226064,5
23836,0,0.0,5
23836,1,0.0067010701905221735,5
23836,2,0.012589288848123914,5
23836,3,0.01843313312662076,5
23836,4,0.023933748970116752,5
23836,5,0.027657688523192548,5
23836,6,0.03167143154881948,5
23836,7,0.038197294692290384,5
23836,8,0.046164227126030966,5
23836,9,0.053206386241895845,5
23836,10,0.05712721002967776,5
23836,11,0.05956065271498438,5
23836,12,0.062047825417892354,5
23836,13,0.0646804693372868,5
23836,14,0.0678532978258545,5
23836,15,0.07019400809858319,5
23836,16,0.07285703445791647,5
23836,17,0.07459398142051335,5
23836,18,0.0757419845547048,5
23836,19,0.07530399742519123,5
23836,20,0.0753592142603388,5
23836,21,0.0752662838201907,5
23836,22,0.07513296561700607,5
23836,23,0.0756222516444435,5
23836,24,0.07734744577072768,5
28905,-24,-0.10085525723678615,5
28905,-23,-0.08683838476809846,5
28905,-22,-0.07791907292770403,5
28905,-21,-0.07266856443594208,5
28905,-20,-0.07330176141920183,5
28905,-19,-0.07396886024507587,5
28905,-18,-0.07627576891872571,5
28905,-17,-0.07639701265798209,5
28905,-16,-0.07709167877714158,5
28905,-15,-0.07429791958446934,5
28905,-14,-0.06690802444871409,5
28905,-13,-0.05493705891072942,5
28905,-12,-0.043223180349276545,5
28905,-11,-0.034433305822647496,5
28905,-10,-0.028722700995323792,5
28905,-9,-0.023641253231435046,5
28905,-8,-0.019786599815907736,5
28905,-7,-0.018300914952832058,5
28905,-6,-0.0175751467178916,5
28905,-5,-0.019597391923268148,5
28905,-4,-0.023413746763587893,5
28905,-3,-0.0269088341744812,5
28905,-2,-0.023660501752503293,5
28905,-1,-0.013165652193851685,5
28905,0,0.0,5
28905,1,0.010437435833823016,5
28905,2,0.015770603163547746,5
28905,3,0.01621526039614949,5
28905,4,0.013745618011217431,5
28905,5,0.012824298195973683,5
28905,6,0.012524047713204567,5
28905,7,0.016829931190634896,5
28905,8,0.018912106296918908,5
28905,9,0.019682978852208065,5
28905,10,0.015214033442193298,5
28905,11,0.008399137414409452,5
28905,12,0.003652061081099234,5
28905,13,0.0002016059753287891,5
28905,14,0.0016407910391766478,5
28905,15,0.004350603432014921,5
28905,16,0.009242033815771577,5
28905,17,0.014375325728650523,5
28905,18,0.01894312052012559,5
28905,19,0.0228874767877393,5
28905,20,0.02566928507367585,5
28905,21,0.030017545761387508,5
28905,22,0.03517390024721116,5
28905,23,0.038850882101522544,5
28905,24,0.040073343688179365,5
29847,-24,-0.0016080725112765037,5
29847,-23,0.00423173401678838,5
29847,-22,0.012464615178274841,5
29847,-21,0.01801514742778245,5
29847,-20,0.020656634851405543,5
29847,-19,0.016195367430684015,5
29847,-18,0.01063225311821192,5
29847,-17,0.004291186986555573,5
29847,-16,-0.0010870072868236491,5
29847,-15,-0.009983000441640754,5
29847,-14,-0.018334990169554644,5
29847,-13,-0.020512529433449344,5
29847,-12,-0.014036547817803325,5
29847,-11,-0.004274421613905588,5
29847,-10,0.0018831580823555072,5
29847,-9,0.003527355640872187,5
29847,-8,0.002743152522489467,5
29847,-7,0.001883754596192233,5
29847,-6,0.0014275924988528033,5
29847,-5,0.000821054272336852,5
29847,-4,-0.0032503033471279253,5
29847,-3,-0.010388000481123427,5
