,TreatedZip,EventTime,RelLogValue,DonorCount
407,28905,-5,-0.019597391923268148,5
408,28905,-4,-0.023413746763587893,5
409,28905,-3,-0.0269088341744812,5
410,28905,-2,-0.023660501752503293,5
411,28905,-1,-0.013165652193851685,5
412,28905,0,0.0,5
413,28905,1,0.010437435833823016,5
414,28905,2,0.015770603163547746,5
415,28905,3,0.01621526039614949,5
416,28905,4,0.013745618011217431,5
417,28905,5,0.012824298195973683,5
418,28905,6,0.012524047713204567,5
419,28905,7,0.016829931190634896,5
420,28905,8,0.018912106296918908,5
421,28905,9,0.019682978852208065,5
422,28905,10,0.015214033442193298,5
423,28905,11,0.008399137414409452,5
424,28905,12,0.003652061081099234,5
425,28905,13,0.0002016059753287891,5
426,28905,14,0.0016407910391766478,5
427,28905,15,0.004350603432014921,5
428,28905,16,0.009242033815771577,5
429,28905,17,0.014375325728650523,5
430,28905,18,0.01894312052012559,5
431,28905,19,0.0228874767877393,5
432,28905,20,0.02566928507367585,5
433,28905,21,0.030017545761387508,5
434,28905,22,0.03517390024721116,5
435,28905,23,0.038850882101522544,5
436,28905,24,0.040073343688179365,5
437,29847,-24,-0.0016080725112765037,5
438,29847,-23,0.00423173401678838,5
439,29847,-22,0.012464615178274841,5
440,29847,-21,0.01801514742778245,5
441,29847,-20,0.020656634851405543,5
442,29847,-19,0.016195367430684015,5
443,29847,-18,0.01063225311821192,5
444,29847,-17,0.004291186986555573,5
445,29847,-16,-0.0010870072868236491,5
446,29847,-15,-0.009983000441640754,5
447,29847,-14,-0.018334990169554644,5
448,29847,-13,-0.020512529433449344,5
449,29847,-12,-0.014036547817803325,5
450,29847,-11,-0.004274421613905588,5
451,29847,-10,0.0018831580823555072,5
452,29847,-9,0.003527355640872187,5
453,29847,-8,0.002743152522489467,5
454,29847,-7,0.001883754596192233,5
455,29847,-6,0.0014275924988528033,5
456,29847,-5,0.000821054272336852,5
457,29847,-4,-0.0032503033471279253,5
458,29847,-3,-0.010388000481123427,5
459,29847,-2,-0.01484510825284353,5
460,29847,-1,-0.010520266966166503,5
461,29847,0,0.0,5
462,29847,1,0.013327573485395306,5
463,29847,2,0.024196822945130946,5
464,29847,3,0.0330451984160149,5
465,29847,4,0.037572422397593286,5
466,29847,5,0.0370422066427782,5
467,29847,6,0.035546099897581486,5
468,29847,7,0.032221961390866485,5
469,29847,8,0.03376838826832085,5
470,29847,9,0.03466103054482765,5
471,29847,10,0.03528420866282041,5
472,29847,11,0.03141965619626212,5
473,29847,12,0.027569159315328662,5
474,29847,13,0.02806276878111689,5
475,29847,14,0.02957386022544455,5
476,29847,15,0.03250496200378876,5
477,29847,16,0.03202763227616323,5
478,29847,17,0.0338972401751171,5
479,29847,18,0.038088729214863545,5
480,29847,19,0.04552336262008403,5
481,29847,20,0.053271443750654866,5
482,29847,21,0.060918651029995274,5
483,29847,22,0.06870882750522042,5
484,29847,23,0.07777929695150938,5
485,29847,24,0.08508985352778638,5
486,30214,-24,-0.22170813646499815,5
487,30214,-23,-0.2063803637065039,5
488,30214,-22,-0.19046110871504815,5
489,30214,-21,-0.17363442332798015,5
490,30214,-20,-0.160035257819748,5
491,30214,-19,-0.15066401053990502,5
492,30214,-18,-0.14426517289962143,5
493,30214,-17,-0.1362045450983885,5
494,30214,-16,-0.12417376013069337,5
495,30214,-15,-0.10975100403505103,5
496,30214,-14,-0.09031096571317435,5
497,30214,-13,-0.07013041209464603,5
498,30214,-12,-0.04952286843007556,5
499,30214,-11,-0.031215664768960493,5
500,30214,-10,-0.015805385851712827,5
501,30214,-9,-0.0028781922037616424,5
502,30214,-8,0.003513087378141222,5
503,30214,-7,0.004927133406009076,5
504,30214,-6,0.0026884117012478726,5
505,30214,-5,0.0008623281139758631,5
506,30214,-4,-8.465597665932023e-05,5
507,30214,-3,-0.001170862224978464,5
508,30214,-2,-0.002839083274826848,5
509,30214,-1,-0.0031571059080281573,5
510,30214,0,0.0,5
511,30214,1,0.0054761874546969125,5
512,30214,2,0.011637629164739849,5
513,30214,3,0.016943202432515746,5
514,30214,4,0.022670291840494627,5
515,30214,5,0.029315212812812776,5
516,30214,6,0.03642881744042192,5
517,30214,7,0.04269643145375781,5
518,30214,8,0.04762174357786435,5
519,30214,9,0.051298340272288814,5
520,30214,10,0.05346403055704272,5
521,30214,11,0.05631210829698006,5
522,30214,12,0.06132850078745342,5
523,30214,13,0.06807977100603253,5
524,30214,14,0.07386864768569446,5
525,30214,15,0.07609439729224228,5
526,30214,16,0.07671167547638617,5
527,30214,17,0.07721578035102787,5
528,30214,18,0.07872407628250748,5
529,30214,19,0.07997318827167917,5
530,30214,20,0.08027007534491908,5
531,30214,21,0.0804742709581884,5
532,30214,22,0.0806003125543473,5
533,30214,23,0.08010922266970547,5
534,30214,24,0.07787219264136809,5
535,30318,-24,-0.09521625013198047,5
536,30318,-23,-0.08033412015228833,5
537,30318,-22,-0.06233188741489748,5
538,30318,-21,-0.04221147798357805,5
539,30318,-20,-0.023753787262461402,5
540,30318,-19,-0.007690474297050898,5
541,30318,-18,0.006043202257898272,5
542,30318,-17,0.013366631818749752,5
543,30318,-16,0.013965142721242784,5
544,30318,-15,0.008818494731778159,5
545,30318,-14,0.004361357037450731,5
546,30318,-13,0.0005376133830552021,5
547,30318,-12,-0.0034613383093816453,5
548,30318,-11,-0.00847715647081131,5
549,30318,-10,-0.01268409237590049,5
550,30318,-9,-0.014859207002123398,5
551,30318,-8,-0.01529805268099942,5
552,30318,-7,-0.014319863389407318,5
553,30318,-6,-0.012855911629612393,5
554,30318,-5,-0.011178825174155449,5
555,30318,-4,-0.00855225352493214,5
556,30318,-3,-0.005252303085729793,5
557,30318,-2,-0.002227931076233958,5
558,30318,-1,-9.523336877812483e-05,5
559,30318,0,0.0,5
560,30318,1,0.00012490808111493835,5
561,30318,2,0.0005774850995177161,5
562,30318,3,0.0033611009105111835,5
563,30318,4,0.0066175115475004985,5
564,30318,5,0.007539588294745414,5
565,30318,6,0.005203605368296138,5
566,30318,7,0.0011073374035120765,5
567,30318,8,-0.002042635435724094,5
568,30318,9,-0.004849311723478067,5
569,30318,10,-0.008332652839110466,5
570,30318,11,-0.012648756976743414,5
571,30318,12,-0.016320737826296748,5
572,30318,13,-0.019038675072027545,5
573,30318,14,-0.02124431660301731,5
574,30318,15,-0.0243279224499112,5
575,30318,16,-0.02783735106354044,5
576,30318,17,-0.03265327610964199,5
577,30318,18,-0.03797130644433864,5
578,30318,19,-0.043745097831804004,5
